heat load,cool load
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
39251.84488476048,4872.557883355787
61249.46775058472,559.1341869048596
15389.726911930547,489.57006801469953
1516.0857535666285,5084.14438764511
27643.48812552446,0.0
34429.433633266235,0.0
38709.87441119083,0.0
41509.0219371056,0.0
47483.89704572892,0.0
56304.49625822207,0.0
0.0,22354.29885171347
0.0,15848.821693817808
0.0,18457.97700817317
0.0,20744.76022010295
0.0,18399.614832800948
580.0099009106143,15822.146718386743
3408.4883001579565,0.0
653.1767270428869,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
16245.92023698845,43.02014748011431
67045.15242607445,468.91187123802416
36451.93318372009,0.0
20121.20008050296,0.0
11505.809343000063,0.0
61192.52180661303,0.0
56565.94162685328,0.0
57098.08487494729,0.0
58128.23138229556,0.0
61641.9764716959,0.0
64469.77816325949,0.0
6551.6471761645935,0.0
8666.884452058235,0.0
6768.002706625309,924.113475029743
0.0,32467.822988071413
17.448439088188024,28621.589963946197
2947.882652571512,19439.16085776421
7901.1061624513495,0.0
806.8433289061832,0.0
0.0,0.0
0.0,0.0
1020.8661446270344,0.0
1069.2172708456535,0.0
1312.4595610664844,0.0
26025.109497070825,13.968306573434711
101594.15230335042,6.975134376735635
42804.2521950907,0.0
12531.405509595232,64.03036713324582
183.5258616576272,4431.429812978874
49567.76785623623,0.0
43132.07252241521,0.0
40982.69640950227,0.0
46593.750542146045,0.0
54482.83330425501,0.0
68427.47531494216,0.0
7919.167530678578,0.0
11676.64046127188,0.0
8115.416958872372,451.8693465022716
314.82018708045695,40521.79756863454
538.7181665896127,27508.61341724887
3578.0784162908817,16769.539542728024
7228.4141993185,0.0
0.0,0.0
173.85011580665196,0.0
740.828820686064,0.0
541.4746335728947,0.0
531.9423963209787,0.0
1231.7563990712977,0.0
23068.466102205224,19.656360355076202
96420.29271186481,419.54841997563574
46628.23055612106,0.0
18302.7325298472,0.0
2255.0690469802225,1272.289892248038
53738.08033247366,0.0
53019.75753537628,0.0
47653.38264120149,0.0
50733.974979526654,0.0
55452.683153316415,0.0
58010.961566555474,0.0
3752.47983426597,239.98095762994188
6127.577505917204,122.94229844713966
4493.446209481069,1600.1020718829204
0.0,29751.80661868433
0.0,25876.889252240228
1545.4296131500857,23251.036207908466
5732.867841527196,0.0
